category,fold,train_end,horizon,model,MAE,RMSE,MAPE,sMAPE,WAPE,MASE
M01AB,27,1780,30,Seasonal Naive,3.5319999999999996,4.243002081859808,121.8632955934146,74.93676200741943,78.68122076186232,1.2285430287749466
M01AB,28,1810,30,Seasonal Naive,3.755333333333333,4.535624176082788,97.26450077859376,87.20672611534592,65.2345107122177,1.3051122889103164
M01AB,29,1840,30,Seasonal Naive,2.8583333333333334,3.476711568901472,71.65056769111547,49.318247950959275,47.18538491168217,0.987563081493371
M01AB,30,1870,30,Seasonal Naive,2.2756666666666665,2.793503773638642,94.29789632638268,53.012945861794606,52.35830968632564,0.7860706052497557
M01AB,31,1900,30,Seasonal Naive,3.573,4.986456657788173,91.87247769710605,56.47637518814869,73.91394290442696,1.2380143148175304
M01AB,32,1930,30,Seasonal Naive,2.8783333333333334,4.133250940039006,43.86077856743685,55.47184846584755,51.93672561048961,0.9995753110975334
M01AB,33,1960,30,Seasonal Naive,2.2599999999999993,2.7738721431721878,104.83778750396482,45.94943784256941,41.63084858160382,0.7786289167863729
M01AB,34,1990,30,Seasonal Naive,3.8743333333333334,4.605979808900599,91.98616486007558,74.79974805285835,72.9538036655787,1.3373428731242647
M01AB,35,2020,30,Seasonal Naive,3.5943333333333327,4.43388655696106,72.85410514953831,61.767045559924114,58.229830435252175,1.2399400085572907
M01AB,36,2050,30,Seasonal Naive,3.4050000000000002,4.163943243289146,107.12646838178657,63.26738753155144,65.21739130434783,1.1690870875347021
M01AB,1,1000,30,Moving Average,2.678857142857143,3.5463606524930626,55.18810219367415,45.270364196863845,43.41276700827261,0.9762809117185139
M01AB,2,1030,30,Moving Average,2.5343650793761907,3.113566351804792,74.42038021120813,46.094966054679404,43.78234008549808,0.9178927824619756
M01AB,3,1060,30,Moving Average,2.0655714285714284,2.5692273779733648,57.14583409666558,45.231589610671676,39.51230176442188,0.7429148669564418
M01AB,4,1090,30,Moving Average,1.7468750000333337,2.2233447039239147,102.95024452899494,32.556137294987145,29.148522469951548,0.6281052665772806
M01AB,5,1120,30,Moving Average,2.1759999999666664,2.699572576807535,46.38488792205488,41.60255995630611,37.2833277800442,0.7849207440122987
M01AB,6,1150,30,Moving Average,2.50547619047619,3.166919306069617,63.731132005391245,49.78701626674681,45.27696266145757,0.9052855816669176
M01AB,7,1180,30,Moving Average,2.4259523809523813,3.0160324999602257,109.67106893454644,51.76909130481951,45.73529279744326,0.8746546153692576
M01AB,8,1210,30,Moving Average,1.813142857142857,2.28426254492553,115.79393168903319,43.7865569693022,41.10813612022802,0.6464117462523364
M01AB,9,1240,30,Moving Average,2.216666666666667,2.61803870610552,112.78070919304201,57.15004286042238,57.09134615384615,0.7906185848329497
M01AB,10,1270,30,Moving Average,1.9570952380952382,2.835209202949545,35.07444400541034,38.94342823085134,39.13929547553972,0.6970001942974576
M01AB,11,1300,30,Moving Average,1.954785714285714,2.462885167915901,57.7429948277562,44.29035143632159,41.31429175284188,0.6933524917078454
M01AB,12,1330,30,Moving Average,2.1790000000000003,2.998951188547843,53.30450026211619,40.50165809462366,38.60053144375553,0.772492811850603
M01AB,13,1360,30,Moving Average,2.346428571428571,2.810509322713807,128.17493129684317,55.500240457146155,54.085944788979745,0.8294783681931205
M01AB,14,1390,30,Moving Average,2.4817619047619046,3.167073726074996,83.75654097803164,53.805768702223986,48.66517886323102,0.8754698718324715
M01AB,15,1420,30,Moving Average,2.335809523809524,2.9123841602025378,102.64018209512307,54.3052929938207,50.46398222258801,0.8215680094449624
M01AB,16,1450,30,Moving Average,2.8423333333333334,3.601469815218777,55.99822447941695,62.734960411723726,51.382946670683936,1.0015555926369215
M01AB,17,1480,30,Moving Average,2.3399523809523806,2.740330991974916,153.16750821542973,57.16004821569308,53.65632609384042,0.8224353657307419
M01AB,18,1510,30,Moving Average,1.9768095238095238,2.5115437565004375,71.84248746114002,52.34166026770547,47.56901075983453,0.694282449511271
M01AB,19,1540,30,Moving Average,2.2761904761904757,3.1941922850294238,44.27716823107469,48.70994949649427,42.67323727391218,0.8009352737612712
M01AB,20,1570,30,Moving Average,2.4257619047619055,2.836934474196461,67.44506796380534,47.434019568509214,42.63451704426572,0.8563104631571475
M01AB,21,1600,30,Moving Average,2.428238095238095,3.376663157857569,52.23934659666738,51.96037616007627,48.34880391394627,0.8504666833623471
M01AB,22,1630,30,Moving Average,2.393,2.8699808361729526,74.58664105793977,58.37195226011628,53.90853795899977,0.8367968141225495
M01AB,23,1660,30,Moving Average,2.0556666666666663,2.587668835071443,56.12602860114699,47.023055212586144,43.37764647956671,0.7179905240375906
M01AB,24,1690,30,Moving Average,2.092333333333334,2.4880213021596096,62.900839188376466,43.913132034815035,42.79091962642307,0.7295183015044808
M01AB,25,1720,30,Moving Average,1.9603809523809521,2.3099217232077236,57.937300846838966,42.29570800710715,40.320463849875615,0.6835369172227732
M01AB,26,1750,30,Moving Average,2.127190476190476,2.8521849722004813,45.46587877351938,40.50415503226476,39.72344493352896,0.7412129604394792
M01AB,27,1780,30,Moving Average,1.9110000000000007,2.4760079374110355,62.81605157078835,46.68962720190107,42.57072844731567,0.6647071710047916
M01AB,28,1810,30,Moving Average,3.5563809523809526,4.113726417010932,87.20614262298308,83.46476319805393,61.77847630076928,1.2359692397476363
M01AB,29,1840,30,Moving Average,2.2220476190476193,2.924208910988071,57.35592089754855,38.683704801987155,36.68157627878092,0.7677243827026268
M01AB,30,1870,30,Moving Average,2.1208095238095237,2.816198177840251,116.00961764604862,50.62334785948474,48.795372125382094,0.7325791823643175
M01AB,31,1900,30,Moving Average,1.773619047619047,2.18250866702349,57.5775957044326,36.63863547428915,36.6905057430502,0.6145440162287756
M01AB,32,1930,30,Moving Average,2.80447619047619,3.9468039252653275,46.93543212028929,57.025967723373164,50.604045299101244,0.9739265178555402
M01AB,33,1960,30,Moving Average,2.1053333333333333,2.7347954692267944,103.1023942481578,42.60810491250364,38.78177575832002,0.7253422180564502
M01AB,34,1990,30,Moving Average,1.8881904761904762,2.4207191544022195,51.359872224289404,36.57210294398502,35.55467881352892,0.6517658288998825
M01AB,35,2020,30,Moving Average,2.352285714285714,2.9103996265795797,62.104399260396214,43.517005272025166,38.10809559810531,0.8114698605306375
M01AB,36,2050,30,Moving Average,2.799285714285715,3.197518329796994,90.74852572428604,54.41590547057018,53.6158918652694,0.9611185852839308
M01AB,1,1000,30,ETS,2.6619955795178387,3.5400161609023426,60.75745128244585,44.67048983023182,43.1395134969399,0.9701358948131563
M01AB,2,1030,30,ETS,2.5500798095941395,3.0944676834106177,72.58210250998034,46.55177397532849,44.05381938749487,0.9235843213656535
M01AB,3,1060,30,ETS,2.05970502835527,2.7145294660783,68.71670372524531,43.40350402630874,39.400083434711526,0.7408049249443591
M01AB,4,1090,30,ETS,1.6209782810433293,2.1951409223356912,111.62291875488253,29.91611887399047,27.047797837506018,0.582837922181767
M01AB,5,1120,30,ETS,2.2280257339872582,2.685760649849641,50.207956216482486,42.11858568934802,38.17473058083319,0.8036873239092907
M01AB,6,1150,30,ETS,2.48229228344361,3.0458786829627775,80.67864762791072,47.96696615798427,44.85800162840088,0.896908708303251
M01AB,7,1180,30,ETS,2.4933963489172637,3.0666300180209594,119.36130514548391,51.91742232137169,47.0067809134154,0.8989709120626586
M01AB,8,1210,30,ETS,1.836958973326002,2.3326922280297073,118.23844070337192,43.95462981571135,41.64810247867297,0.6549025373614026
M01AB,9,1240,30,ETS,2.209204230680452,2.5857835417130914,113.32539956017456,56.9329203522165,56.899147424805605,0.7879569575041552
M01AB,10,1270,30,ETS,1.8686144818158215,2.631312930510659,37.44041263677398,36.95136884557417,37.36979831642866,0.665488644364731
M01AB,11,1300,30,ETS,2.003110142665504,2.50401925250306,53.99448236145108,45.96997839730555,42.33562596777985,0.7104929192148716
M01AB,12,1330,30,ETS,2.2157240906476106,3.148440677973022,50.843919013092275,41.20126882265801,39.25109106550239,0.7855121308258344
M01AB,13,1360,30,ETS,2.190851552934119,2.65305869939867,118.72950509433618,53.19963658682764,50.49984370958399,0.7744808400345875
M01AB,14,1390,30,ETS,2.385681107270659,2.9866187145895875,92.8381600332648,51.398622357530336,46.78111851632118,0.8415762725698571
M01AB,15,1420,30,ETS,2.223100013420234,2.806379437647761,90.42873539163277,53.12776512972428,48.02895031154185,0.7819249961118272
M01AB,16,1450,30,ETS,2.606069312441706,3.331123752894618,61.46993098435453,55.520034611234806,47.111828486442406,0.9183030238098208
M01AB,17,1480,30,ETS,2.2874070109040985,2.639994053293318,142.37398118003293,56.85787705146673,52.45143340756934,0.8039669682603938
M01AB,18,1510,30,ETS,2.0133252664621586,2.4248256003607627,97.49676095037714,51.42694882488964,48.44770834512293,0.7071072760558832
M01AB,19,1540,30,ETS,1.9447495616159702,2.804042650981748,42.305548786216676,40.66241320079105,36.459496843194046,0.6843093927433053
M01AB,20,1570,30,ETS,2.544888937335554,2.9704979487019174,68.17044683557073,49.71114816229303,44.72826065971446,0.8983631164853356
M01AB,21,1600,30,ETS,2.5635274644136103,3.1622921126178167,69.64078219954675,54.025986182971366,51.04255919055439,0.8978504639407515
M01AB,22,1630,30,ETS,2.4671709888349223,2.905545508160438,88.78969335891469,58.34018288519408,55.57943205305074,0.8627333152330311
M01AB,23,1660,30,ETS,2.034796749331759,2.521933561280615,58.43152613608326,46.63331308051118,42.937259956357,0.7107012085435523
M01AB,24,1690,30,ETS,2.02827870884076,2.449029086751026,58.04817458298148,42.85738971308693,41.48091980722803,0.7071848519919766
M01AB,25,1720,30,ETS,1.9110436433303646,2.270456196700117,53.47826116298726,41.509029100197296,39.305710475737655,0.6663342035912482
M01AB,26,1750,30,ETS,2.125926723224714,2.81089274088475,46.75834081597791,40.432800129746965,39.699845438370005,0.7407726096164093
M01AB,27,1780,30,ETS,1.6959737461491646,2.241826070181343,52.54445626737826,43.92687646563373,37.78065819000144,0.5899141344328673
M01AB,28,1810,30,ETS,2.8490841759847423,3.4140472612071826,97.40363764309308,63.50513275608113,49.49190809469731,0.9901583801396086
M01AB,29,1840,30,ETS,2.213475266184405,2.8724704805922703,44.76961834461624,39.18529138389578,36.54006382299684,0.7647626080521623
M01AB,30,1870,30,ETS,2.2537796873559244,2.9035638949763016,132.30712161996922,52.458926085223304,51.854736268638504,0.7785103103586393
M01AB,31,1900,30,ETS,1.4477652808887782,1.808553025717861,41.28736457938336,31.666706425975207,29.949633448257718,0.5016384389129948
M01AB,32,1930,30,ETS,2.665534001067262,3.6992404434255235,48.435552954797956,53.51295671521399,48.09696862264999,0.9256752675244451
M01AB,33,1960,30,ETS,2.127046401845602,2.6600798273021997,104.8234389894095,43.23720250025571,39.18174631915022,0.7328229362050415
M01AB,34,1990,30,ETS,1.8722507641604609,2.500223742850588,50.88799278183838,36.0691461531527,35.25453359579075,0.6462637570725589
M01AB,35,2020,30,ETS,2.646567459292952,3.157900249226553,58.757412340364546,49.660241174827306,42.87559335715981,0.9129884665092693
M01AB,36,2050,30,ETS,2.6376049423763677,3.0334913945532795,79.90881789482368,52.43343102432188,50.519152315195704,0.9056064258883769
M01AB,1,1000,30,SARIMA,2.6548662192785355,3.46950810216788,59.39361640948041,44.71395217285837,43.023977192283944,0.9675376755191729
M01AB,2,1030,30,SARIMA,2.470448063605583,3.0548388170460568,69.28331524297481,45.3448489953905,42.678143794090964,0.8947434075239379
M01AB,3,1060,30,SARIMA,1.997008801974058,2.6147347217963355,64.93288008313452,42.78797274394934,38.20076774802125,0.7182552527149737
M01AB,4,1090,30,SARIMA,1.6064595928964989,2.1247168102602307,112.31259954801469,29.66621163010739,26.805537625599595,0.5776175918841536
M01AB,5,1120,30,SARIMA,2.173604801927703,2.667653823676141,49.119532740969454,41.283827893899854,37.24228873887409,0.7840567547536458
M01AB,6,1150,30,SARIMA,2.4119132008993693,3.014018192878933,77.4099863952358,46.93280158587528,43.58616711462025,0.8714791436877766
M01AB,7,1180,30,SARIMA,2.5122109738029934,3.058945522816143,120.29318037691323,52.60038429817251,47.36148382711608,0.9057543504442003
M01AB,8,1210,30,SARIMA,1.8485330927098182,2.353144302765258,120.9230428120932,44.11824515544174,41.91051449614159,0.6590288789195163
M01AB,9,1240,30,SARIMA,2.3066849654602075,2.6946776170860236,117.92221221029486,58.582547946591504,59.40981195381716,0.8227254149086874
M01AB,10,1270,30,SARIMA,1.9028025045940251,2.548607825645678,41.52470108115395,37.81237425628864,38.0535131910011,0.6776643719712453
M01AB,11,1300,30,SARIMA,1.8759398148046906,2.4053298869028197,51.44308846015547,43.30948943439257,39.64788787498024,0.6653862545563274
M01AB,12,1330,30,SARIMA,2.2193432535029065,3.069306634785097,50.883219103187514,41.39240528216136,39.31520378215954,0.7867951860303469
M01AB,13,1360,30,SARIMA,2.1572160644961627,2.6599307189237997,114.93439750981105,52.78617948283091,49.72453471754505,0.7625904674050434
M01AB,14,1390,30,SARIMA,2.426535703331851,3.0488057029265865,93.64335859429646,52.13274724128563,47.582241388296964,0.855988198189648
M01AB,15,1420,30,SARIMA,2.2149311091508865,2.805166188268058,90.62703708106703,53.132832837223745,47.85246527043539,0.7790517693561761
M01AB,16,1450,30,SARIMA,2.5072210617985564,3.246758669643919,57.52429676064958,53.84829139506392,45.32487607951594,0.883471775450249
M01AB,17,1480,30,SARIMA,2.262791047327413,2.6350153950893853,142.98575834983384,56.34881982271804,51.88697654958526,0.7953150661226392
M01AB,18,1510,30,SARIMA,2.0863938096145,2.4921394705320297,99.23526953173226,52.85802719329781,50.20599525822973,0.7327699443661132
M01AB,19,1540,30,SARIMA,1.958444175432885,2.9357681490427363,42.8417297548969,40.77323564222632,36.71623875952166,0.6891281894921883
M01AB,20,1570,30,SARIMA,2.5097515045898287,2.909031789510775,65.42872141545834,49.25643474916553,44.11069490754869,0.8859593635656531
M01AB,21,1600,30,SARIMA,2.5715157554070833,3.1830128276538923,69.64424679646632,53.949891686734496,51.20161456309318,0.9006482848629566
M01AB,22,1630,30,SARIMA,2.5591449282537937,2.932556703498146,91.97510609193917,60.4788467969975,57.65138383090323,0.8948952456500858
M01AB,23,1660,30,SARIMA,2.103943455203624,2.5900099819143816,59.89124076618133,47.7275548140269,44.396359046288744,0.7348523417936318
M01AB,24,1690,30,SARIMA,1.990790895865239,2.442366447485955,56.78121731645772,42.12488508985394,40.71424560362476,0.6941142550591967
M01AB,25,1720,30,SARIMA,1.9469372847666915,2.295381366176154,54.1439173665188,42.24425817708296,40.04395896270448,0.678849438951747
M01AB,26,1750,30,SARIMA,2.127309767952219,2.8403240898073006,46.581593567027305,40.47447678873571,39.72567260414974,0.7412545272859216
M01AB,27,1780,30,SARIMA,1.7360927568737974,2.2422409530722835,53.54001069786959,44.832821692706744,38.6743764061884,0.6038688147689644
M01AB,28,1810,30,SARIMA,2.9623770315069584,3.4873722422965794,98.26857850417424,65.72791958791207,51.45993685304501,1.0295316886753227
M01AB,29,1840,30,SARIMA,2.360525952633935,3.024356811725187,48.795754820535095,41.68359016787952,38.9675774935443,0.8155690788553622
M01AB,30,1870,30,SARIMA,2.3275257967913716,2.9770063925537062,136.9665334944814,53.54655677633598,53.55147933410627,0.8039840098805684
M01AB,31,1900,30,SARIMA,1.5030195403483975,1.8390972881668373,44.25904578873496,32.56403257891342,31.092667363433957,0.5207835730203697
M01AB,32,1930,30,SARIMA,2.7109883467378215,3.7884078955696525,50.74933723642033,54.08796990767062,48.917148082602345,0.9414604586238259
M01AB,33,1960,30,SARIMA,2.0964082540640008,2.7108792854073536,104.49781431442769,42.39571042330385,38.617369287682685,0.7222672955769313
M01AB,34,1990,30,SARIMA,1.884160983486012,2.4438371540316024,49.052841641862365,36.5939904407312,35.478803354619856,0.6503749280952826
M01AB,35,2020,30,SARIMA,2.513493483748871,3.0338994070627923,55.5694042740402,47.27386586089569,40.7197345893002,0.8670818320731533
M01AB,36,2050,30,SARIMA,2.6581841223831755,3.089144770339964,80.16898012926058,52.67375831770376,50.913313970181484,0.9126721685074698
M01AE,1,1000,30,Naive,1.2523333333333333,1.5380100346443344,40.38694926552498,30.633355178651843,29.26058038287201,0.557105158012953
M01AE,2,1030,30,Naive,2.3168,3.05452186111018,64.60580860882882,67.84645548315241,56.23573959900966,1.0391682090572376
M01AE,3,1060,30,Naive,1.948766666666667,2.3420431464855636,76.05803370050661,51.08231440801539,50.10412827918378,0.8720943015512597
M01AE,4,1090,30,Naive,1.2638694444666667,1.7117187065688486,45.705422037773886,27.969272123875506,25.52450867414687,0.5676043020367877
M01AE,5,1120,30,Naive,1.8595027777,2.471243134828327,91.18434324240245,43.525523617195724,39.42364602360615,0.8385131842587412
M01AE,6,1150,30,Naive,1.4957666666666667,1.8195768830509287,68.71645186909561,39.43801459573662,37.62651036819024,0.6739481259031025
M01AE,7,1180,30,Naive,2.626066666666667,3.012964121923791,212.27099298547034,72.78370308245562,88.5907700611731,1.1883279363339445
M01AE,8,1210,30,Naive,1.595533333333333,2.0140269610906403,60.91136586913348,45.15901541202021,40.02307769490617,0.721197790202652
M01AE,9,1240,30,Naive,2.345266666666667,2.5929561250948057,107.86411040147156,58.39737665213834,65.47366461939326,1.0629898884816802
M01AE,10,1270,30,Naive,1.6875666666666667,2.2656284117215693,65.29025101644149,48.86806748460389,44.74919344146374,0.7673036598709124
M01AE,11,1300,30,Naive,2.2593666666666667,2.7389693864663767,62.61838450515669,93.66793068042331,70.56037309626177,1.023224568937002
M01AE,12,1330,30,Naive,2.0124666666666666,2.6446390932097583,49.44527008022529,55.628524627117294,48.80836890441081,0.9115619075684087
M01AE,13,1360,30,Naive,1.6869666666666667,2.149228101745679,48.87369428486679,57.06539616799735,49.67559555943816,0.7630246386401648
M01AE,14,1390,30,Naive,2.3556000000000004,2.60107158686569,128.8053647993275,62.614080181560425,66.74726561762093,1.0700946597710648
M01AE,15,1420,30,Naive,3.0779333333333336,3.5172093862416927,80.04051696835768,133.10905408546333,83.42940783172808,1.3975914812687147
M01AE,16,1450,30,Naive,1.8774666666666666,2.569674700553879,51.867370157648075,59.30832793427195,51.9009970328597,0.8528038300009687
M01AE,17,1480,30,Naive,2.7554333333333334,3.3038399830096696,52.42930972996981,68.73310135679414,56.273528710984046,1.238772439443358
M01AE,18,1510,30,Naive,1.5175000000000003,1.8396212925490942,60.15885944008763,44.72858709598107,43.40964785979232,0.6814228535561762
M01AE,19,1540,30,Naive,1.8125,2.3612342888130913,49.50468761509118,61.95268497118316,51.49781696610377,0.8138530678726407
M01AE,20,1570,30,Naive,2.2900333333333336,2.6701277185433163,570.7386251199235,65.39990629343713,61.651186790505676,1.031681024805483
M01AE,21,1600,30,Naive,4.6107,4.92766078716193,584.783150487946,87.18038620739992,134.79082820920104,2.063820371065659
M01AE,22,1630,30,Naive,1.4569999999999999,2.0692249595762497,29.78224001111182,33.48130494913122,34.094631909018574,0.6550330384869011
M01AE,23,1660,30,Naive,1.3077333333333334,1.7183197218988862,50.71246232506312,35.20020562215059,33.71199752522041,0.5874192272189916
M01AE,24,1690,30,Naive,2.4004333333333334,2.718384023643458,120.84898123134589,64.19016009014705,74.88794833664377,1.0825196071393757
