category,model,MAE,RMSE,sMAPE,WAPE,MASE,MASE_rank,MAE_rank,sMAPE_rank,overall_rank_score
N02BE,ETS,10.23306610219929,12.865700865691355,35.451949611440924,34.79496095827139,0.8683917133302383,3.0,3.0,3.0,9.0
N02BE,Moving Average,10.23989658289418,12.885712304019622,35.78057722135425,34.850023204048256,0.8691810938218564,4.0,4.0,4.0,12.0
N02BE,SARIMA,10.303637970304766,12.94695754600584,35.37921340773816,34.727340664594735,0.8745220886614953,5.0,5.0,2.0,12.0
N02BE,Seasonal Naive,12.729047376537036,15.843106042877114,44.1860923745677,43.37192528159167,1.080903396603628,6.0,6.0,6.0,18.0
N02BE,Naive,13.30001898148148,16.004712447941987,45.03804548261476,47.62049831715064,1.128987150745442,7.0,7.0,7.0,21.0
N05B,SARIMA,3.684704643620363,4.699406455739252,48.86798495164496,45.96189141637119,0.6807796056366073,1.0,2.0,3.0,6.0
N05B,ETS,3.70786059411277,4.710281512518143,49.40777471525789,46.28174292165375,0.6850222279219613,2.0,3.0,4.0,9.0
N05B,LightGBM,3.587866006403745,4.406381398467371,45.000121563464944,42.25018172132186,0.724966750325651,3.0,1.0,1.0,5.0
N05B,Moving Average,3.9964296737011904,5.111702081133818,52.159032180067385,49.869545020427736,0.7379935925287627,4.0,5.0,5.0,14.0
N05B,XGBoost,3.731648849253453,4.584987882165145,45.878628367113485,43.9433473044194,0.7540196135449824,5.0,4.0,2.0,11.0
N05B,Naive,4.80329475309537,5.921319279214458,63.930365820403445,59.45238064204892,0.8885366129950009,6.0,6.0,6.0,18.0
N05B,Seasonal Naive,4.855424382687963,6.088524946460276,64.78588762579044,60.85461277840053,0.8976069102942572,7.0,7.0,7.0,21.0
N05C,LightGBM,0.8213322364626914,1.1394002970108397,155.1970190288247,115.87443984689862,0.9604502239012316,1.0,4.0,2.0,7.0
N05C,Moving Average,0.8036155202794973,1.1623459532834028,169.08867568680975,147.22007239045087,0.96114509919897,2.0,1.0,5.0,8.0
N05C,ETS,0.8053444307712093,1.1032655502547508,166.6154744281351,149.99638935450616,0.9639093204318064,3.0,2.0,4.0,9.0
N05C,XGBoost,0.833958536101027,1.1313277794006205,151.29109049406478,117.65577184992868,0.9752151774441628,4.0,5.0,1.0,10.0
N05C,SARIMA,0.8154834459836007,1.1022107603284743,165.46432194813806,152.41453395215365,0.976199768561302,5.0,3.0,3.0,11.0
N05C,Naive,0.8569444444379629,1.3564795586925391,182.64269742836277,152.2245512787449,1.0252865936278168,6.0,6.0,7.0,19.0
N05C,Seasonal Naive,0.9139660493814816,1.512168217877088,176.71268779520088,166.55945950729486,1.0917620034965652,7.0,7.0,6.0,20.0
R03,SARIMA,5.069203838683694,6.561802099746477,90.8113502897491,84.7234493508389,0.9362294123673346,1.0,1.0,1.0,3.0
R03,ETS,5.0846527433702695,6.577934944797241,90.9800769125505,84.83615013807952,0.9389313851420088,2.0,2.0,2.0,6.0
R03,Moving Average,5.255435681216005,6.882593969309278,92.45151722242156,86.04029259315871,0.9687832567413228,3.0,3.0,3.0,9.0
R03,LightGBM,6.140972026599865,8.156978736391222,95.12590918395536,92.76992348858052,1.035190551270631,4.0,5.0,4.0,13.0
R03,Naive,6.045129243832408,7.802914746232029,115.61065277258598,102.25373814679163,1.1259234622269334,5.0,4.0,6.0,15.0
R03,Seasonal Naive,6.751070601850926,9.140253677203726,116.3410281356006,114.8110868160088,1.2451708372884709,6.0,6.0,7.0,19.0
R03,XGBoost,7.745646072998433,9.030576490531963,102.81689047719772,117.01127939505416,1.3056922574346876,7.0,7.0,5.0,19.0
R06,SARIMA,1.7195976611884438,2.1487064201420485,66.91111178731904,60.98381968493262,0.8629286075664493,1.0,1.0,3.0,5.0
R06,ETS,1.7284044338359803,2.158604762318369,67.28854031603387,61.27569130094815,0.8671708992047665,2.0,2.0,4.0,8.0
R06,Moving Average,1.76442724868254,2.2133860794643705,69.03407942522394,63.57763287163137,0.8851293919015512,3.0,3.0,5.0,11.0
R06,XGBoost,1.8547144625104708,2.4292414445664274,52.608600800644,46.20984513829461,0.9049896587022594,4.0,4.0,1.0,9.0
R06,LightGBM,1.9128505292358635,2.4890652619357807,53.58747475078079,47.65829377803492,0.9333565799979991,5.0,5.0,2.0,12.0
R06,Naive,2.0979259259314817,2.5637870073192426,95.53559615004376,74.83910923318713,1.0533384009845834,6.0,6.0,7.0,19.0
R06,Seasonal Naive,2.19984876543426,2.7930020187332123,88.36786078151442,79.45995744248474,1.1029281830154571,7.0,7.0,6.0,20.0
