category,model,config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,MAE,RMSE,MAPE,sMAPE,WAPE,MASE,num_leaves,validation_rank
N05B,XGBoost,4,700,4.0,0.03,0.8,0.8,4.128542991433564,4.9378287977549755,69.67284028704819,47.24070654446737,47.565539011395785,0.8143553559961243,,1.0
N05B,XGBoost,1,300,3.0,0.05,0.8,0.8,4.1649208342892,5.000359344096065,71.85634702530845,47.210752551513515,47.98465338348553,0.8215308877104703,,2.0
N05B,XGBoost,5,500,5.0,0.03,0.8,0.8,4.2462433252298055,5.069345841694592,73.80607032802148,48.01585721949559,48.921581525778194,0.8375717539913451,,3.0
N05B,XGBoost,2,500,3.0,0.05,0.8,0.8,4.385853613930187,5.2426950714768354,75.62323726384845,48.71738163445499,50.53005178934311,0.8651098919231104,,4.0
N05B,XGBoost,3,500,4.0,0.05,0.8,0.8,4.567847089292446,5.482489160797293,80.51890732508143,49.78728762149745,52.62682485677268,0.9010081160000122,,5.0
N05C,LightGBM,1,300,,0.05,0.8,0.8,0.9557944446585819,1.2353389245414328,56.636943084954126,159.2051856580702,149.37865272807775,1.1586637395038764,15.0,1.0
N05C,LightGBM,2,500,,0.05,0.8,0.8,1.032527604163892,1.3027283555054494,53.918879897313786,155.86365009041967,161.371080650764,1.2516836665742088,15.0,2.0
N05C,LightGBM,5,500,,0.03,0.8,0.8,1.05821961872267,1.3370129743660868,54.8606825082543,155.26388288554227,165.386419453064,1.2828288629398303,63.0,3.0
N05C,LightGBM,4,700,,0.03,0.8,0.8,1.0767523381081874,1.3508847574363352,53.74203728163784,154.05638524086987,168.28285044684844,1.3052951893203628,31.0,4.0
N05C,LightGBM,3,500,,0.05,0.8,0.8,1.1146933350778074,1.388740588844436,55.021395517737595,154.54202178480458,174.21255117084297,1.351289239270118,31.0,5.0
N05C,XGBoost,5,500,5.0,0.03,0.8,0.8,0.8451059110965794,1.1579692044398122,62.489458768456075,164.30732058869623,132.0794268240762,1.0244813418828458,,1.0
N05C,XGBoost,3,500,4.0,0.05,0.8,0.8,0.8507707040432226,1.1781191776632698,64.09747163233934,164.79050139246436,132.96476272771324,1.0313484985353594,,2.0
N05C,XGBoost,4,700,4.0,0.03,0.8,0.8,0.8525180838256361,1.1659297424155035,62.19296313159995,164.40568803715047,133.23785621466527,1.0334667631939785,,3.0
N05C,XGBoost,1,300,3.0,0.05,0.8,0.8,0.8709671735563725,1.1510348056178357,58.33530090224963,161.1886805422879,136.12121694503787,1.0558317093571605,,4.0
N05C,XGBoost,2,500,3.0,0.05,0.8,0.8,0.8940855270372954,1.1715913076024913,58.631790003842774,161.60233857635345,139.7343248842719,1.083856979900501,,5.0
R03,LightGBM,1,300,,0.05,0.8,0.8,5.8562852211387675,8.357061307129605,98.74313613337215,100.18781031410968,79.98380129341801,1.0487486395664658,15.0,1.0
R03,LightGBM,4,700,,0.03,0.8,0.8,5.942612886051036,8.41894564565551,108.29166015363079,101.8556774156204,81.16284475454319,1.0642082727152908,31.0,2.0
R03,LightGBM,5,500,,0.03,0.8,0.8,5.949416425542839,8.350244677148922,109.79700239090239,100.3540427880526,81.25576593755525,1.065426656471688,63.0,3.0
R03,LightGBM,2,500,,0.05,0.8,0.8,5.967872816253024,8.479797434059932,100.95255252331572,101.2387867776922,81.5078390916818,1.068731842936778,15.0,4.0
R03,LightGBM,3,500,,0.05,0.8,0.8,5.981661945742734,8.588562190568355,100.93241084971554,105.39503390752654,81.69616786179243,1.0712012122121917,31.0,5.0
R03,XGBoost,1,300,3.0,0.05,0.8,0.8,6.076521714985143,8.166489875502577,129.69695960687855,96.26338558154498,82.99174084830571,1.088188782008736,,1.0
R03,XGBoost,5,500,5.0,0.03,0.8,0.8,6.247064226888606,8.250861954314527,137.03684356605245,97.23397634622386,85.32097138764657,1.1187296830395477,,2.0
R03,XGBoost,4,700,4.0,0.03,0.8,0.8,6.250905901079434,8.234238535186705,135.0800786937234,97.69567608386153,85.3734400932356,1.1194176533874989,,3.0
R03,XGBoost,2,500,3.0,0.05,0.8,0.8,6.3079296473799085,8.31327277314897,137.63553636653057,97.41078791278855,86.15225735040063,1.1296295153609799,,4.0
R03,XGBoost,3,500,4.0,0.05,0.8,0.8,6.324309771088348,8.362017966809958,138.50262277706648,98.05347273859735,86.37597332569644,1.1325628821295841,,5.0
R06,LightGBM,1,300,,0.05,0.8,0.8,1.8663724200202896,2.3756702521333515,87.52361595414115,69.46106755449489,59.83285449987662,0.9335083739510864,15.0,1.0
R06,LightGBM,4,700,,0.03,0.8,0.8,1.8830055362677962,2.390358256138578,89.86413187201344,69.60291943351659,60.36608506717454,0.941827803200786,31.0,2.0
R06,LightGBM,5,500,,0.03,0.8,0.8,1.8846859345476124,2.4014552168119088,92.96407929080185,68.24179373235161,60.4199558941861,0.9426682924027022,63.0,3.0
R06,LightGBM,2,500,,0.05,0.8,0.8,1.8993645537806227,2.4248500666580814,89.4625260491338,70.19088721676438,60.89052847627465,0.9500101357695827,15.0,4.0
R06,LightGBM,3,500,,0.05,0.8,0.8,1.929145864699108,2.449998041862854,90.89972722691904,70.02533164541414,61.845268711335535,0.9649059319308573,31.0,5.0
R06,XGBoost,5,500,5.0,0.03,0.8,0.8,1.8614602693104652,2.3622147070031065,88.75873041309525,68.23609701953424,59.67537896308145,0.9310514506851066,,1.0
R06,XGBoost,3,500,4.0,0.05,0.8,0.8,1.9242039335550476,2.477156906913757,92.16012352713409,69.32245694795438,61.68683846241031,0.9624341133072087,,2.0
R06,XGBoost,4,700,4.0,0.03,0.8,0.8,1.9322871578516174,2.4660157192576397,93.97632778593608,68.30273766847523,61.945973444281336,0.96647712074154,,3.0
R06,XGBoost,1,300,3.0,0.05,0.8,0.8,1.9686865164767735,2.47423019051656,101.24609817141285,68.68551851681353,63.1128774904117,0.9846830831306876,,4.0
R06,XGBoost,2,500,3.0,0.05,0.8,0.8,1.985590269273268,2.5154956259010963,99.53026165561889,69.20864272216808,63.65478422388323,0.9931378773708186,,5.0
